client_id,age,region,income,transaction_amount,channel,department,signup_date,is_active,score,legacy_flag,comment,client_type
1703,53.2,SPB,67172.95,6951.74,web,legal,2026-06-07,true,0.7338,0,документы на проверке,sme
100001,48.4,MSK,113145.8,3639.6,web,risk,2025-06-28,true,0.6741,0,документы на проверке,retail
100002,34.7,SPB,53169.34,9767.64,partner,ops,2024-10-07,false,0.6926,0,повторное обращение,corporate
100003,48.7,SPB,54053.84,24986.42,mobile,ops,2025-03-05,false,0.5225,0,документы на проверке,retail
100004,47.2,MSK,68160.09,1988.76,mobile,ml,2025-02-25,true,0.44,0,,retail
100005,24.5,EKB,18524.21,7148.99,web,ops,2025-07-14,false,0.4531,0,документы на проверке,retail
100006,56.4,SPB,,4375.96,mobile,support,2025-11-08,true,0.5193,0,документы на проверке,sme
2238,32.0,MSK,63482.7,1896.61,mobile,risk,2024-10-31,true,0.1853,0,перевод в другой отдел,retail
100008,50.8,OTHER_17,,15566.04,mobile,ml,2024-12-02,true,0.5312,0,заявка принята,retail
100009,19.3,MSK,40094.48,51624.14,offline,support,2026-01-21,false,0.3819,0,повторное обращение,corporate
100010,44.7,MSK,135635.37,10061.53,offline,risk,2025-08-21,false,0.4708,0,повторное обращение,corporate
100011,55.5,MSK,,24269.54,mobile,sales,2025-06-23,true,0.2995,0,повторное обращение,sme
100012,51.9,SPB,83687.21,2212.88,mobile,growth,2025-03-20,false,0.4867,0,заявка принята,retail
100013,39.8,MSK,40181.67,9856.83,web,support,2026-04-11,false,0.3344,0,заявка принята,retail
1673,25.5,UNKNOWN,136824.58,10372.68,partner,ops,2024-10-17,false,0.7088,0,повторное обращение,retail
100015,37.4,MSK,35717.9,10440.04,web,legal,2025-10-19,false,0.6778,0,перевод в другой отдел,retail
100016,42.1,MSK,65225.98,1761.3,mobile,growth,2026-06-09,false,0.7436,0,клиент не отвечает,sme
100017,70.3,SPB,,13077.01,web,support,2025-04-22,true,0.604,0,заявка принята,corporate
100018,46.4,NSK,80696.61,7863.29,mobile,ops,2025-03-04,false,0.4517,0,клиент не отвечает,corporate
100019,39.5,MSK,110721.55,10924.68,web,risk,2024-07-23,true,0.6054,0,клиент не отвечает,corporate
100020,33.1,UNKNOWN,40437.09,9542.99,web,ml,2024-08-17,false,0.5536,0,перевод в другой отдел,sme
2590,32.6,UNKNOWN,,4182.83,partner,legal,2025-06-05,false,0.6037,0,клиент не отвечает,corporate
100022,50.5,OTHER_17,,9430.47,mobile,growth,2026-06-16,false,0.6121,0,документы на проверке,sme
100023,45.4,MSK,,14844.97,mobile,ops,2025-12-07,true,0.3736,0,,retail
100024,39.9,NSK,120656.26,10191.62,mobile,ml,2025-11-22,false,0.4957,0,,retail
100025,40.9,UNKNOWN,90230.12,9888.02,web,support,2025-07-10,false,0.4527,0,заявка принята,retail
100026,41.0,SPB,71863.74,2241.52,offline,ml,2025-09-18,true,0.5913,0,повторное обращение,retail
100027,31.8,SPB,37653.79,11886.32,web,support,2025-06-28,false,0.4283,0,повторное обращение,retail
3024,47.3,NSK,,10052.8,partner,support,2026-04-13,false,0.2664,0,повторное обращение,retail
100029,30.9,UNKNOWN,75007.87,2045.68,web,ml,2025-07-05,true,0.2185,0,перевод в другой отдел,sme
100030,18.1,KZN,82482.08,7448.73,web,ml,2024-10-27,true,0.7498,0,перевод в другой отдел,retail
100031,60.7,MSK,95297.58,5507.07,web,ml,2025-01-30,false,0.7846,0,повторное обращение,sme
100032,52.0,SPB,106261.75,14949.39,web,sales,2024-08-04,true,0.7176,0,клиент не отвечает,retail
100033,30.9,MSK,185922.16,1787.9,partner,risk,2024-11-08,false,0.5941,0,,sme
100034,28.8,MSK,102919.72,7660.54,partner,risk,2024-11-03,true,0.4262,0,заявка принята,sme
85,49.8,OTHER_17,53950.7,3710.5,web,support,2025-11-17,false,0.7537,0,,sme
100036,51.6,SPB,204042.25,8209.43,offline,growth,2025-04-16,true,0.4809,0,клиент не отвечает,sme
100037,26.7,OTHER_17,92002.73,11831.52,web,ml,2025-10-28,false,0.69,0,клиент не отвечает,corporate
100038,27.4,SPB,180256.42,936.46,web,legal,2024-08-10,true,0.6889,0,,corporate
100039,31.3,SPB,,7859.35,web,legal,2024-07-31,true,0.359,0,заявка принята,sme
100040,42.8,MSK,31322.36,29730.95,partner,ops,2025-04-07,false,0.3031,0,клиент не отвечает,sme
100041,15.4,MSK,53788.4,4720.87,web,sales,2025-11-19,true,0.2729,0,повторное обращение,corporate
611,38.6,MSK,37224.96,13131.44,web,ml,2026-03-07,true,0.6063,0,повторное обращение,retail
100043,37.0,KZN,,2829.66,web,support,2025-09-09,true,0.4981,0,документы на проверке,sme
100044,28.1,MSK,59128.44,6315.19,web,ml,2025-08-27,true,0.3608,0,перевод в другой отдел,corporate
100045,38.0,MSK,118252.11,5738.41,web,risk,2025-10-13,false,0.8984,0,клиент не отвечает,sme
100046,42.1,UNKNOWN,113997.71,15993.39,mobile,growth,2026-01-10,true,0.3028,0,,corporate
100047,48.9,KZN,143736.49,3984.04,mobile,sales,2024-12-30,true,0.4935,0,перевод в другой отдел,retail
100048,24.9,EKB,31127.6,2719.55,web,support,2025-09-12,true,0.5773,0,повторное обращение,corporate
1005,52.6,UNKNOWN,113151.04,8807.08,offline,risk,2025-07-31,false,0.5287,0,заявка принята,retail
100050,68.9,SPB,160704.34,10359.69,web,growth,2026-04-05,false,0.6246,0,перевод в другой отдел,retail
100051,26.6,NSK,67815.26,7533.12,mobile,risk,2026-02-07,false,0.6149,0,документы на проверке,retail
100052,19.8,UNKNOWN,,3520.04,web,ml,2024-12-18,true,0.6649,0,,retail
100053,51.4,OTHER_17,164004.57,11693.33,web,ml,2024-10-10,true,0.6693,0,клиент не отвечает,corporate
100054,19.5,EKB,58063.62,8652.87,mobile,growth,2025-10-03,true,0.4696,0,заявка принята,retail
100055,50.1,EKB,,4959.17,mobile,legal,2025-04-01,true,0.4726,0,клиент не отвечает,corporate
1066,24.4,NSK,89539.9,3788.57,offline,ml,2025-09-04,true,0.3919,0,документы на проверке,corporate
100057,45.2,EKB,,5257.39,partner,risk,2025-11-24,true,0.4973,0,повторное обращение,sme
100058,38.9,MSK,54158.21,26748.96,mobile,ml,2024-09-16,true,0.6408,0,документы на проверке,sme
100059,26.1,UNKNOWN,93638.06,2010.28,partner,growth,2025-04-07,true,0.6357,0,клиент не отвечает,corporate
100060,45.8,NSK,22256.23,11634.03,mobile,support,2026-02-22,true,0.6861,0,перевод в другой отдел,retail
100061,10.3,OTHER_17,101285.21,7057.63,offline,risk,2026-01-09,false,0.6766,0,клиент не отвечает,retail
100062,41.0,EKB,91350.32,4948.86,web,risk,2025-09-09,true,0.5042,0,клиент не отвечает,sme
746,38.4,UNKNOWN,,10972.82,web,ops,2024-09-23,false,0.5635,0,заявка принята,corporate
100064,46.4,UNKNOWN,66610.38,14506.71,mobile,ml,2025-11-20,true,0.8113,0,клиент не отвечает,corporate
100065,48.0,MSK,196209.95,22662.43,mobile,growth,2025-11-17,false,0.533,0,,corporate
100066,54.8,MSK,21096.58,24652.35,web,risk,2026-02-22,false,0.8401,0,перевод в другой отдел,retail
100067,42.0,OTHER_17,135579.88,7896.26,web,risk,2024-09-21,false,0.5658,0,перевод в другой отдел,retail
100068,12.7,UNKNOWN,31168.66,5884.82,web,legal,2024-08-24,true,0.6187,0,документы на проверке,retail
100069,41.7,MSK,102110.14,19625.77,partner,ml,2026-04-28,true,0.4733,0,клиент не отвечает,retail
3195,50.6,NSK,134342.55,4828.34,web,growth,2025-06-13,false,0.2824,0,,sme
100071,33.8,UNKNOWN,33798.34,11617.3,partner,support,2025-12-12,true,0.2012,0,документы на проверке,corporate
100072,35.3,EKB,51421.54,12638.16,web,growth,2024-11-11,true,0.8977,0,перевод в другой отдел,sme
100073,45.8,SPB,,6753.33,offline,growth,2026-05-17,true,0.7884,0,повторное обращение,sme
100074,13.6,SPB,112382.23,2144.73,web,risk,2025-12-12,false,0.5581,0,повторное обращение,sme
100075,52.2,UNKNOWN,125902.83,5849.89,mobile,sales,2026-06-15,true,0.7605,0,повторное обращение,retail
100076,55.0,SPB,,3868.17,web,growth,2024-11-23,false,0.4539,0,клиент не отвечает,sme
1914,64.3,NSK,128349.76,19915.14,partner,ops,2026-05-29,false,0.5907,0,повторное обращение,retail
100078,16.7,SPB,75116.06,4125.57,mobile,growth,2025-05-30,true,0.4972,0,клиент не отвечает,corporate
100079,47.3,SPB,122814.09,3111.26,web,risk,2026-03-11,true,0.3957,0,заявка принята,sme
100080,43.0,OTHER_17,37234.09,1877.65,mobile,sales,2026-02-20,false,0.6998,0,клиент не отвечает,sme
100081,59.4,SPB,142035.57,8825.08,mobile,ops,2026-04-07,true,0.2928,0,перевод в другой отдел,retail
100082,56.4,MSK,59827.02,5938.64,mobile,risk,2025-03-31,false,0.7524,0,заявка принята,sme
100083,42.1,UNKNOWN,85645.54,7007.9,web,support,2025-01-14,false,0.7214,0,заявка принята,sme
2812,53.3,OTHER_17,24116.02,14812.29,offline,legal,2025-09-25,false,0.8599,0,повторное обращение,retail
100085,52.4,MSK,28374.17,2523.78,partner,ops,2025-11-05,false,0.1784,0,повторное обращение,sme
100086,43.3,OTHER_17,,8627.95,mobile,risk,2024-12-20,false,0.6325,0,перевод в другой отдел,retail
