client_id,age,region,income,transaction_amount,channel,department,signup_date,is_active,score,legacy_flag,comment
1,36,MSK,112127.62,3982.05,mobile,support,2025-06-01,true,0.4789,0,
2,29,MSK,142773.21,3430.26,web,risk,2024-04-04,false,0.3274,0,перевод в другой отдел
3,20,EKB,115036.8,6759.21,web,risk,2024-03-12,true,0.3119,0,перевод в другой отдел
4,61,KZN,47056.25,2168.73,mobile,risk,2025-09-15,true,0.4772,0,повторное обращение
5,28,ROV,41943.39,3845.82,mobile,risk,2025-11-02,false,0.5435,0,повторное обращение
6,37,NSK,121794.27,3726.21,partner,support,2024-04-03,true,0.6449,1,повторное обращение
7,23,SPB,141985.43,11518.65,web,risk,2024-04-24,true,0.281,1,клиент не отвечает
8,57,EKB,94505.71,1051.94,partner,support,2025-01-17,true,0.5159,0,документы на проверке
9,36,ROV,90293.91,4356.15,mobile,support,2025-11-06,true,0.5419,0,перевод в другой отдел
10,21,ROV,121298.81,7232.04,mobile,risk,2025-06-13,true,0.4675,1,повторное обращение
11,40,NSK,32850.1,4568.44,web,ops,2025-07-06,false,0.5245,0,повторное обращение
12,42,MSK,54035.6,3762.94,mobile,sales,2025-02-16,true,0.1909,0,повторное обращение
13,43,MSK,46378.9,7005.91,web,sales,2024-08-30,false,0.7183,0,клиент не отвечает
14,40,MSK,93629.38,374.04,web,ops,2024-07-13,true,0.6875,0,документы на проверке
15,37,SPB,46770.94,4653.13,mobile,sales,2024-03-11,true,0.4464,0,клиент не отвечает
16,56,MSK,71418.92,5656.9,mobile,risk,2025-11-16,true,0.7688,0,перевод в другой отдел
17,23,MSK,75579.35,2602.54,web,risk,2024-09-07,true,0.6736,0,клиент не отвечает
18,47,NSK,88276.35,1329.93,web,risk,2025-09-11,false,0.2673,1,повторное обращение
19,29,SPB,117590.87,1739.11,mobile,support,2024-06-14,false,0.1844,1,документы на проверке
20,42,KZN,75843.25,5079.27,web,support,2024-11-11,true,0.5143,0,перевод в другой отдел
21,40,MSK,104303.6,5409.28,partner,support,2024-06-30,true,0.6421,0,повторное обращение
22,37,ROV,23371.17,8374.32,partner,ops,2024-11-08,true,0.3488,1,повторное обращение
23,45,SPB,104354.38,6145.33,partner,risk,2024-04-28,false,0.5275,0,повторное обращение
24,18,MSK,32216.58,3704.14,web,support,2025-03-17,false,0.2598,1,документы на проверке
